,title,link
0,"Elderly suffered knee, spine issues during lockdown: Study",news.google.com/./articles/CAIiELwW4eIMN2V98xtkvJ9DkAAqGQgEKhAIACoHCAowzrL9CjDC7vQCMKCT1wU?uo=CAUihQFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS9jaXR5L2NoYW5kaWdhcmgvZWxkZXJseS1zdWZmZXJlZC1rbmVlLXNwaW5lLWlzc3Vlcy1kdXJpbmctbG9ja2Rvd24tc3R1ZHkvYXJ0aWNsZXNob3cvODc3MjQyMzYuY21z0gEA&hl=en-IN&gl=IN&ceid=IN%3Aen
1,A traffic lockdown may be what Delhi requires,news.google.com/./articles/CAIiEI65_zT3ig4ZfVfE3320f3QqFwgEKg4IACoGCAowxLQ_MNevCDDnvNMF?uo=CAUib2h0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9vcGluaW9uL29ubGluZS12aWV3cy9hLXRyYWZmaWMtbG9ja2Rvd24tbWF5LWJlLXdoYXQtZGVsaGktcmVxdWlyZXMtMTE2MzY5OTMxNDkwOTMuaHRtbNIBAA&hl=en-IN&gl=IN&ceid=IN%3Aen
2,Austria imposes lockdown for unvaccinated people only as Covid-19 cases surge across Europe,news.google.com/./articles/CBMidmh0dHBzOi8vd3d3LmluZGlhdG9kYXkuaW4vdG9wLXN0b3JpZXMvc3RvcnkvYXVzdHJpYS1sb2NrZG93bi11bnZhY2NpbmF0ZWQtcGVvcGxlLWNvdmlkLWNhc2VzLWV1cm9wZS0xODc3MTAyLTIwMjEtMTEtMTbSAXpodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2FtcC90b3Atc3Rvcmllcy9zdG9yeS9hdXN0cmlhLWxvY2tkb3duLXVudmFjY2luYXRlZC1wZW9wbGUtY292aWQtY2FzZXMtZXVyb3BlLTE4NzcxMDItMjAyMS0xMS0xNg?hl=en-IN&gl=IN&ceid=IN%3Aen
3,Delhi News Live Updates: City records the highest dengue cases in a year since 2015,news.google.com/./articles/CBMieWh0dHBzOi8vaW5kaWFuZXhwcmVzcy5jb20vYXJ0aWNsZS9jaXRpZXMvZGVsaGkvZGVsaGktbmV3cy1saXZlLXVwZGF0ZXMtYWlyLXF1YWxpdHktc21vZy10cmFmZmljLWNvcm9uYXZpcnVzLXJhaW4tNzYyMzA3MS_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
4,Soaring pollution has Delhi considering full weekend lockdown,news.google.com/./articles/CBMia2h0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS93b3JsZC8yMDIxL25vdi8xNi9zb2FyaW5nLXBvbGx1dGlvbi1oYXMtZGVsaGktY29uc2lkZXJpbmctZnVsbC13ZWVrZW5kLWxvY2tkb3du0gFraHR0cHM6Ly9hbXAudGhlZ3VhcmRpYW4uY29tL3dvcmxkLzIwMjEvbm92LzE2L3NvYXJpbmctcG9sbHV0aW9uLWhhcy1kZWxoaS1jb25zaWRlcmluZy1mdWxsLXdlZWtlbmQtbG9ja2Rvd24?hl=en-IN&gl=IN&ceid=IN%3Aen
5,New Delhi prepares for new lockdown amid pollution crisis,news.google.com/./articles/CAIiEAw08BD1r0AYbcYWVLcxP5kqGAgEKg8IACoHCAowjtSUCjC30XQw0fe8Bg?uo=CAUiANIBAA&hl=en-IN&gl=IN&ceid=IN%3Aen
6,"West Bengal: Battered by lockdown and cyclones, Boipara hopes business will return with reopening of camp",news.google.com/./articles/CBMiqQFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS9jaXR5L2tvbGthdGEvYmF0dGVyZWQtYnktbG9ja2Rvd24tYW5kLWN5Y2xvbmVzLWJvaXBhcmEtaG9wZXMtYnVzaW5lc3Mtd2lsbC1yZXR1cm4td2l0aC1yZW9wZW5pbmctb2YtY2FtcHVzZXMvYXJ0aWNsZXNob3cvODc3MjQwNjEuY21z0gGkAWh0dHBzOi8vbS50aW1lc29maW5kaWEuY29tL2NpdHkva29sa2F0YS9iYXR0ZXJlZC1ieS1sb2NrZG93bi1hbmQtY3ljbG9uZXMtYm9pcGFyYS1ob3Blcy1idXNpbmVzcy13aWxsLXJldHVybi13aXRoLXJlb3BlbmluZy1vZi1jYW1wdXNlcy9hbXBfYXJ0aWNsZXNob3cvODc3MjQwNjEuY21z?hl=en-IN&gl=IN&ceid=IN%3Aen
7,Pregnancy outcomes during the Jordanian COVID-19 national lockdown,news.google.com/./articles/CAIiEI57yvzq9p5vTkFHxkmPhvkqMwgEKioIACIQZdRflS9INK7zM5FkBi3R3CoUCAoiEGXUX5UvSDSu8zORZAYt0dwwr47MBg?uo=CAUicmh0dHBzOi8vd3d3Lm5ld3MtbWVkaWNhbC5uZXQvbmV3cy8yMDIxMTExNi9QcmVnbmFuY3ktb3V0Y29tZXMtZHVyaW5nLXRoZS1Kb3JkYW5pYW4tQ09WSUQtMTktbmF0aW9uYWwtbG9ja2Rvd24uYXNweNIBAA&hl=en-IN&gl=IN&ceid=IN%3Aen
8,Uttar Pradesh govt spending public money to get crowds for PM's rallies:Priyanka Gandhi,news.google.com/./articles/CBMiigFodHRwczovL20ucmVwdWJsaWN3b3JsZC5jb20vaW5kaWEtbmV3cy9wb2xpdGljcy91dHRhci1wcmFkZXNoLWdvdnQtc3BlbmRpbmctcHVibGljLW1vbmV5LXRvLWdldC1jcm93ZHMtZm9yLXBtcy1yYWxsaWVzcHJpeWFua2EtZ2FuZGhpLmh0bWzSAZABaHR0cHM6Ly93d3cucmVwdWJsaWN3b3JsZC5jb20vYW1wL2luZGlhLW5ld3MvcG9saXRpY3MvdXR0YXItcHJhZGVzaC1nb3Z0LXNwZW5kaW5nLXB1YmxpYy1tb25leS10by1nZXQtY3Jvd2RzLWZvci1wbXMtcmFsbGllc3ByaXlhbmthLWdhbmRoaS5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen
9,Karnataka Likely to Impose Lockdown Again. State Minister Sudhakar K to Meet TAC Today Over New COVID Variant,news.google.com/./articles/CAIiEHUr52rR-lZ2mFGzHZCBa7EqGQgEKhAIACoHCAow5dz4CjCO8d4CMLW6uAY?uo=CAUi0AFodHRwczovL3d3dy5pbmRpYS5jb20va2FybmF0YWthL2thcm5hdGFrYS1sb2NrZG93bi1uZXdzLXRvZGF5LTI2LW9jdG9iZXItMjAyMTItc3RhdGUtbGlrZWx5LXRvLWltcG9zZS1sb2NrZG93bi1zdWRoYWthci1rLXRvLW1lZXQtdGFjLXRvZGF5LWJlbmdhbHVydS1kYWtzaGluYS1rYW5uYWRhLWhhc3Nhbi1teXN1cnUtY292aWQtdmFyaWFudC1heS00LTUwNzA2NzYv0gEA&hl=en-IN&gl=IN&ceid=IN%3Aen
